comments,extremist
"সমাবেশ করতে দেওয়াই উচিত না, গ্রেনেড মারা দলকে",1
"সমাবেশ নয়াপল্টনেই হবে,,পুলিশ বাধা দিলে পুলিশকে ও ছাড় দেওয়া হবে না,,,",1
"আমি আমার ভোট দিব, এ অধিকার ফিরে পেতে চাই ",0
মুক্তিকামী মানুষের জয় হবে ইনশাআল্লাহ,0
রাজনীতি এবং রাজনীতিবিদ বর্তমানে দেশের মানুষের জন্য অভিশাপ ,1
বাংলাদেশ তামাশা লীগ,1
বিনোদন মন্ত্রী,1
আ'লীগের আবার জুমা বার কিসের,1
অনেক ধন্যবাদ আসিফ নজরুল স্যারকে গণমানুষের মনের কথা তুলে ধরার জন্য..,0
দেশের সাধারণ মানুষের মনের কথা তুলে ধরার জন্য স্যারকে সালাম জানাই।,0
অহন ও বোঝেন নাই কাক্কু সব জয় বাংলা হয়ে যাচ্ছে,1
"আমি চাই এই সরকার শুধু পতন না, ধ্বংস হয়ে যাক",1
কর্মী সব জয় বাংলা হয়ে গেছে,1
সত্যি বলতে লীগ এখন চরম পর্যায়ের কর্মী সংকটে ভুগতেছে,1
করোনা আবার ফিরে আসো,1
আপনাদের দলে তো সবাই নেতা সবাই খাইতে চায়,1
কর্মী কয়দিন পর দূর্বিন দিয়াও খুঁজে পাওয়া যাবে না,1
কর্মীরা বুঝি ফেলছে দেশের অবস্থা ভালা না,1
আমরা সাধারণ জনগণ নিরপেক্ষ সরকার চাই,0
নেতা আসছেন নেতার পকেটে টাকা ডুকছে,1
এসব শর্ত বাদ দিয়ে নয়া পল্টনে সমাবেশ করুন। সরকার পাগল হয়ে গেছে।,1
কর্মী তো লাগে না বর্তমান আওমিলীগ এর রাজনীতিতে শুধু বড় নেতার মন খুশি রাখতে পারলেই সব হয়,1
দুই দিন আগে আর পরে সরকারতো বিদায় নিতে হবেই কারন দেশটাতো জনগণের কারো বাবার জমিদারি নয়,1
এতো শর্ত দিয়ে সমাবেশ থামানো যাবে না। আর ৭১ মানেই আওয়ামী লীগ টিভি।,1
সরকার পুলিশ দিয়ে কয়দিন মাস্তানি করবে,1
কর্মী না পেলে রোহিঙ্গাদের নিয়ে আসবো তাইনা কাকু,1
